SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,529 Oak St,San Francisco,CA,94102,1799000,3,2.0,San Francisco,1540,2294,1900,8,1168,270,Active,August-8-2021 11:00 AM,August-8-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/529-Oak-St-94102/home/25707445,San Francisco MLS,421565872,N,Y,37.7741214,-122.428152
MLS Listing,,Condo/Co-op,2250 24th St #336,San Francisco,CA,94107,630000,1,1.0,San Francisco,602,80224,1989,8,1047,539,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2250-24th-St-94107/unit-336/home/2027769,BAREIS,421578499,N,Y,37.7533831,-122.4021236
MLS Listing,,Single Family Residential,609 Garfield,San Francisco,CA,94132,1088000,2,1.5,Merced Heights,900,1500,1949,8,1209,,Active,August-8-2021 01:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/609-Garfield-St-94132/home/1632239,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960886,N,Y,37.7195326,-122.4683184
MLS Listing,,Single Family Residential,738 Geneva Ave,San Francisco,CA,94112,1195000,3,2.0,San Francisco,1582,2378,1960,8,755,,Active,,,http://www.redfin.com/CA/San-Francisco/738-Geneva-Ave-94112/home/823152,San Francisco MLS,421579415,N,Y,37.7182103,-122.4431188
MLS Listing,,Condo/Co-op,3676 16th St,San Francisco,CA,94114,1295000,3,2.0,San Francisco,1538,2874,,8,842,300,Active,August-8-2021 01:00 PM,August-8-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/3676-16th-St-94114/home/175892472,San Francisco MLS,421579265,N,Y,37.7643562,-122.4347768
MLS Listing,,Condo/Co-op,1501 Filbert St Unit 4A,San Francisco,CA,94123,1695000,2,2.0,San Francisco,1220,10900,2014,9,1389,741,Active,August-8-2021 12:00 PM,August-8-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-4A/home/110051425,San Francisco MLS,421578500,N,Y,37.7991911,-122.4245164
MLS Listing,,Condo/Co-op,338 Main St Unit 24B,San Francisco,CA,94105,2250000,2,2.0,South Beach,1178,75406,2016,9,1910,1213,Active,August-8-2021 01:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-24B/home/110052634,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40960860,N,Y,37.7886733,-122.3914178
MLS Listing,,Condo/Co-op,946 Stockton St Unit 12D,San Francisco,CA,94108,949000,3,2.0,San Francisco,,10067,,9,,1223,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/946-Stockton-St-94108/unit-12D/home/1601312,San Francisco MLS,421579461,N,Y,37.7947159,-122.4078309
MLS Listing,,Condo/Co-op,1811 Jackson St,San Francisco,CA,94109,1650000,3,2.5,San Francisco,1743,2312,1954,9,947,332,Active,,,http://www.redfin.com/CA/San-Francisco/1811-Jackson-St-94109/home/1347176,San Francisco MLS,421558894,N,Y,37.793459,-122.425186
MLS Listing,,Condo/Co-op,257 Central Ave,San Francisco,CA,94117,1150000,2,1.0,San Francisco,1149,3088,1908,9,1001,343,Active,August-7-2021 01:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/257-Central-Ave-94117/home/599436,San Francisco MLS,421579288,N,Y,37.7720961,-122.4441792
MLS Listing,,Condo/Co-op,2177 3rd St #604,San Francisco,CA,94107,935000,1,1.0,San Francisco,686,,2020,9,1363,802,Active,,,http://www.redfin.com/CA/San-Francisco/2177-3rd-St-94107/unit-604/home/175891670,San Francisco MLS,421579381,N,Y,37.7622991,-122.3884155
